id,name,type,frequency_text,ac,damage_base,damage_dice,damage_set,class,range_text,effect_text,source_id,source_page,needs_review
sky-attack,Sky Attack,Flying,Scene x2,4,14,4d10+15,40,Physical,"Melee, Pass, Set-Up, Full Action","The user is moved up 25 meters into the air. The user may shift until they are next to a legal target in the encounter. They may then shift again, and pass through legal targets to attack with Sky Attack. Sky Attack Flinches a target on 17-20 during Accuracy Check.",core,375,False
sky-drop,Sky Drop,Flying,Scene x2,3,6,2d6+8,15,Physical,"Melee, Target, Set-Up","Make Sky Drop's Accuracy Check. If the user hits, the user and target are moved 25 meters into the air. The target forfeits their next turn, and cannot Shift or take actions until Sky Drop is resolved. Shift while in the air, and lower both the user and the target heights back to the ground. Then apply Sky Drop's damage. If the target has a Sky or Levitate Speed, Sky Drop fails to deal damage. If the user is Fainted after the Set-Up but before the Resolution, the target falls to the ground and takes damage as if Sky Drop had a Damage Base of 3 (1d6+5/8) unless they have a Sky or Levitate Speed, in which case they take no damage.",core,375,False
sky-uppercut,Sky Uppercut,Fighting,At-Will,4,9,2d10+10,21,Physical,"Melee, 1 Target","Sky Uppercut may be used as an Interrupt when against a target initiating Bounce, Fly, or Sky Drop to allow the user to Shift and use Sky Uppercut. If Sky Uppercut successfully hits its target, the triggering Move fails (though the target may take their next turn normally).",core,367,False
slack-off,Slack Off,Normal,Daily x2,,,,,Status,Self,The user regains Hit Points equal to half of its full Hit Points.,core,408,False
slam,Slam,Normal,At-Will,6,8,2d8+10,19,Physical,"Melee, 1 Target, Dash","Slam may be used as a Free Action at the end of a Sprint Maneuver taken as a Standard Action, as long as the user Shifted at least 3 meters in a straight line towards the target. When used this way, Slam gains the Smite keyword.",core,408,False
slash,Slash,Normal,EOT,2,7,2d6+10,17,Physical,"Melee, Pass",Slash is a Critical Hit on 18+.,core,408,False
sleep-powder,Sleep Powder,Grass,Scene x2,6,,,,Status,"4, 1 Target, Powder",The target falls asleep.,core,383,False
sleep-talk,Sleep Talk,Normal,Scene,,,,,Status,Self,"Select another of the user's Moves at random; this turn, the user may Shift and use that Move despite being Asleep. Sleep Talk can be only be used by Sleeping targets.",core,408,False
slice,Slice,Normal,Scene x2,2,10,3d8+10,24,Physical,"Melee, Pass",None.,core,290,False
sludge,Sludge,Poison,EOT,2,7,2d6+10,17,Special,"6, 1 Target",Sludge Poisons the target on 15+.,core,416,False
sludge-bomb,Sludge Bomb,Poison,EOT,2,9,2d10+10,21,Special,"8, 1 Target",Sludge Bomb Poisons the target on 15+.,core,416,False
sludge-wave,Sludge Wave,Poison,Scene x2,2,10,3d8+10,24,Special,Burst 1 or Close Blast 2,Sludge Wave Poisons targets on 19+.,core,416,False
smack-down,Smack Down,Rock,Scene x2,2,5,1d8+8,13,Physical,"8, 1 Target","The target is knocked down to ground level, and loses all Sky or Levitate Speeds for 3 turns. During this time, they may be hit by Ground-Type Moves even if normally immune.",core,427,False
smart-strike,Smart Strike,Steel,EOT,,7,2d6+10,17,Physical,"Melee, 1 Target",Smart Strike cannot miss.,sumo,23,False
smelling-salts,Smelling Salts,Normal,Scene x2,2,7,2d6+10,17,Physical,"Melee, 1 Target","If the target is Paralyzed, Smelling Salt's Damage Base is doubled to 14 (4d10+15 / 40), and cures the target of Paralysis.",core,408,False
smog,Smog,Poison,At-Will,7,3,1d6+5,9,Special,Line 2,Smog Poisons the target on an Even-Numbered Roll.,core,416,False
smokescreen,Smokescreen,Normal,EOT,,,,,Status,"5, Ranged Blast 3","Smokescreen creates a blast of Smoke that covers the target area; the Smoke persists until the end of the encounter, or until Defog or Whirlwind are used. All targets attacking from or into the Smoke receive a -3 penalty to Accuracy.",core,408,False
snap-trap,Snap Trap,Grass,Scene x2,2,4,1d8+6,11,Physical,"Melee, 1 Target",The target is trapped in a Vortex. The DC to escape the Vortex is increased by 3.,new,11,False
snarl,Snarl,Dark,EOT,3,6,2d6+8,15,Special,"Cone 2, Sonic",All Legal Targets have their Special Attack lowered 1 Combat Stage.,core,353,False
snatch,Snatch,Dark,Scene x2,,,,,Status,"6, 1 Target, Interrupt","If the target uses a Self-Targeting Move, you may use Snatch. You gain the benefits of the Self-Targeting Move instead of the target.",core,353,False
snipe-shot,Snipe Shot,Water,EOT,2,8,2d8+10,19,Special,"8, 1 Target","Snipe Shot is a Critical Hit on 18+. This Move may not be Intercepted, nor may any Abilities, Moves, or Features be activated to change this Move's target. Any of those existing effects (such as Follow Me) fail.",new,16,False
snore,Snore,Normal,EOT,2,5,1d8+8,13,Special,"Burst 1, Sonic",Snore Flinches all legal targets on 15+. Snore may only be used by Sleeping users.,core,408,False
soak,Soak,Water,Daily,2,,,,Status,"5, 1 Target",The target gains the Water Type in addition to its other Types for 5 turns.,core,434,False
soft-boiled,Soft-Boiled,Normal,Daily x2,,,,,Status,"Melee, 1 Target",The target regains Hit Points equal to half of its full Hit Points. The user may target themselves with Soft-Boiled.,core,408,False
solar-beam,Solar Beam,Grass,Scene x2,2,12,3d12+10,30,Special,"Line 6, 1 Target, Set-Up","If the weather is not Sunny, the user's turn ends. If the weather is Sunny, immediately proceed to the Resolution Effect instead and this Move loses the Set-Up keyword. The user attacks with Solar Beam. If the weather is Rainy, Sandstorming, or Hailing, Solar Beam's Damage Base is lowered to 6 (2d6+8 / 15).",core,383,False
solar-blade,Solar Blade,Grass,Scene x2,2,13,4d10+10,35,Physical,"Melee, 1 Target, Set Up","The user attacks with Solar Blade. If the weather is Rainy, Sandstorming, or Hailing, Solar Blade's Damage Base is lowered to 6 (2d6+8 / 15). If the weather is not Sunny, the user gains +1 Combat Stage in Attack and Special Defense, and the user's turn ends. If the weather is Sunny, immediately proceed to the Resolution Effect instead and this Move loses the Set-Up keyword.",sumo,16,False
sonic-boom,Sonic Boom,Normal,EOT,6,,Special,,Special,"8, 1 Target","Sonic Boom causes the target to lose 15 Hit Points. Sonic Boom is Special and interacts with other moves and effects as such ( Special Evasion may be applied to avoid it, Mirror Coat can reflect it, etc. )",core,409,False
spacial-rend,Spacial Rend,Dragon,Daily x2,3,10,3d8+10,24,Special,"10, 1 Target",Spacial Rend is a Critical Hit on Even-Numbered Rolls.,core,355,False
spark,Spark,Electric,EOT,2,6,2d6+8,15,Physical,"Melee, 1 Target, Dash",Spark Paralyzes the target on 15+.,core,358,False
sparkling-aria,Sparkling Aria,Water,EOT,2,9,2d10+10,21,Special,"Melee, 2 Targets","When you hit a target with Sparkling Aria, the user may choose to deal no damage and instead cure that target of Burn, Confusion, Infatuation, or Rage.",sumo,24,False
spectral-thief,Spectral Thief,Ghost,Scene,2,9,2d10+10,21,Physical,"Melee, 1 Target","Before rolling damage, transfer all Combat Stages on the target to the user.",sumo,15,False
speed-swap,Speed Swap,Psychic,Scene,2,,,,Status,"Melee, 1 Target",The user and the target trade Initiative values.,sumo,21,False
spider-web,Spider Web,Bug,Scene x2,,,,,Status,5,"Spider Web cannot miss. The target is Stuck and Trapped. If the user is freed of the Stuck condition, they are freed of Trapped as well.",core,348,False
spike-cannon,Spike Cannon,Normal,EOT,4,3,1d6+5,9,Physical,"6, 1 Target, Five Strike",None,core,409,False
spikes,Spikes,Ground,At-Will,,,,,Status,"6, Hazard","Set 8 square meters of Spikes within your range, all 8 meters must be adjacent with at least one other space of Spikes. Spikes cause terrain to count as Slow Terrain, and a grounded foe that runs into the hazards will lose a Tick of Hit Points and become Slowed until the end of their next turn.",core,387,False
spiky-shield,Spiky Shield,Grass,Scene,,,,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by an attack, the user may use Spiky Shield. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move's effects. In addition, if the triggering attack was Melee ranged, the attacker loses a Tick of Hit Points.",core,384,False
spirit-break,Spirit Break,Fairy,EOT,2,8,2d8+10,19,Physical,"Melee, 1 Target",The target's Special Attack stat is lowered 1 CS.,new,8,False
spirit-lance,Spirit Lance,Normal,Scene x2,2,6,2d6+8,15,Special,Line 6,Spirit Lance deals +3 damage to all targets for each target beyond the first that it successfully hits.,got,45,False
spirit-shackle,Spirit Shackle,Ghost,EOT,2,8,2d8+10,19,Physical,"8, 1 Target",The Target is Trapped for 2 rounds.,sumo,15,False
spit-up,Spit Up,Normal,Scene,,,,,Special,"4, 1 Target","For each Stockpiled Count the user has, Spit Up's Damage Base is increased by +8. If the user has no Stockpiled count, Spit Up cannot be used.",core,409,False
spite,Spite,Ghost,Scene,,,,,Status,"1 Target, Trigger",Spite may be used as a Free Action that does not take up a Command whenever the user is hit by a Move. That Move becomes Disabled for the attacker.,core,379,False
splash,Splash,Normal,At-Will,,,,,Status,Self,"Shift Action - The user may make a single Jump, adding +1 to their Long Jump and High Jump values, and gains +2 Evasion until the end of their next turn.",core,409,False
spore,Spore,Grass,Scene,,,,,Status,"4, 1 Target, Powder",The target falls Asleep.,core,384,False
spotlight,Spotlight,Normal,Daily,,,,,Status,"6, 1 Target, Priority","Until the end of the user's next turn, the target is Blinded and Vulnerable.",sumo,19,False
stealth-rock,Stealth Rock,Rock,Scene,,,,,Status,"Field, Hazard","Set 4 square meters of Stealth Rock hazards within 6 meters. If a foe moves within 2 meters of a space occupied by Rocks, move at most one Rock to the offender, then destroy the Rock. When that happens, the Stealth Rock causes a foe to lose a Tick of Hit Points. Stealth Rock is considered to be dealing damage; Apply Weakness and Resistance. Do not apply stats. A Pokémon who has been hit by a Stealth Rock Hazard cannot get hit by another in the same encounter until it is returned to a Poké Ball and then sent back out.",core,427,False
steam-eruption,Steam Eruption,Water,Scene x2,,,,,Special,Burst 1,"Steam Eruption Burns all Legal Targets on 15+. Steam Eruption may be used even if the user is Frozen, and cures the user and all Legal Targets of the Frozen condition.",edit,,True
steamroller,Steamroller,Bug,EOT,2,7,2d6+10,17,Physical,"Melee, Pass","Steamroller Flinches the target on 15+. If the target is Small, Steamroller deals an additional +5 Damage.",core,348,False
steel-beam,Steel Beam,Steel,Daily,3,14,4d10+15,40,Special,"Cone 3, Smite",The user's Hit Points are reduced by 50% of their full Hit Point value. This Hit Point loss cannot be prevented or reduced in any way.,new,15,False
steel-wing,Steel Wing,Steel,At-Will,3,7,2d6+10,17,Physical,"Melee, 1 Target, Pass, Spirit Surge",Raise the user's Defense 1 Combat Stage on 15+.,core,431,False
sticky-web,Sticky Web,Bug,EOT,,,,,Status,"6, Hazard","Set 8 square meters of Sticky Web hazards within your range, all 8 meters must be adjacent with at least one other space of Sticky Web. Sticky Web causes Terrain to become Slow Terrain, and a foe that runs into the hazard has its Speed lowered by one stage, and they become Slowed until the end of their next turn. Flying- type Pokémon and Pokémon and Trainers with Levitate are not affected by Sticky Web. Bug-type Pokémon may move over Sticky Web harmlessly, destroying the Hazards as they do so.",core,348,False
stockpile,Stockpile,Normal,EOT,,,,,Status,Self,"The user adds 1 to their Stockpiled count to a maximum of 3. For each number a Stockpiled count is above 0, raise the user's Defense 1 Combat Stage and raise the user's Special Defense 1 Combat Stage. If a Stockpiled count is set to 0, the Combat Stages gained from the Stockpiled count are removed.",core,409,False
stomp,Stomp,Normal,EOT,2,7,2d6+10,17,Physical,"Melee, 1 Target","Stomp Flinches the target on 15+. If the target is at least one size category smaller than the user, Stomp deals an additional 10 damage.",core,409,False
stomping-tantrum,Stomping Tantrum,Ground,EOT,2,8,2d8+10,19,Physical,"Melee, 1 Target","If the user's last attack failed or missed, Stomping Tantrum is DB 15 (4d10+10 / 45) instead.",sumo,17,False
stone-edge,Stone Edge,Rock,EOT,5,10,3d8+10,24,Physical,"8, 1 Target",Stone Edge is a Critical Hit on 17+.,core,428,False
stored-power,Stored Power,Psychic,EOT,2,2,1d6+3,7,Special,"10, 1 Target","For every Combat Stage the user has above 0, add +2 to Stored Power's Damage Base, up to a maximum of Damage Base 20.",core,424,False
storm-throw,Storm Throw,Fighting,EOT,2,6,2d6+8,15,Physical,"Melee, 1 Target","If Storm Throw hits, it is a Critical Hit.",core,367,False
strange-steam,Strange Steam,Fairy,Scene x2,3,9,2d10+10,21,Special,Burst 1,The target is confused on 17+.,new,8,False
strength,Strength,Normal,EOT,2,8,2d8+10,19,Physical,"Melee, 1 Target, Push","You may immediately initiate a Push Maneuver as a Free Action. The Maneuver automatically hits, but you must still make the Opposed Roll.",core,409,False
strength-sap,Strength Sap,Grass,Daily x2,2,,,,Status,"Melee, 1 Target",The user gains Hit Points equal to the higher of the target's Attack or Special Attack; the target then loses 1 Combat Stage in that Stat.,sumo,16,False
string-shot,String Shot,Bug,At-Will,3,,,,Status,Cone 2,"Targets have their Speed CS lowered by -1. If this lowers their Speed CS to -6, or if their Speed CS was already at -6, the target is instead Stuck.",core,348,False
struggle-bug,Struggle Bug,Bug,At-Will,2,5,1d8+8,13,Special,Cone 2,"On hit, lowers the target's Special Attack by -1 CS.",core,348,False
stuff-cheeks,Stuff Cheeks,Normal,Scene,,,,,Status,Self,"The user immediately consumes one of its Food Buffs, regardless of any conditions that need to be met, gaining its benefit if applicable. If a Buff is consumed, the user's Defense CS is raised by 2.",new,12,False
stun-spore,Stun Spore,Grass,Scene x2,6,,,,Status,"6, 1 Target, Powder",The target is Paralyzed.,core,384,False
submission,Submission,Fighting,At-Will,6,8,2d8+10,19,Physical,"Melee, 1 Target, Recoil 1/3","On an accuracy roll of 15+, the target is Tripped.",core,367,False
substitute,Substitute,Normal,Scene,,,,,Status,"Self, Illusion, Coat","The user loses 1/4 of their maximum Hit Points. This Hit Point loss cannot be prevented in any way. The user creates an Illusory Substitute Coat, which has Hit Points equal to 1/4th of the user's full Hit Points +1. If the user would be hit by a Move or attack, instead the Substitute gets hit. Apply weakness, resistance and stats to the Substitute. The Substitute is immune to Status Afflictions and Status Moves. Moves with the Social or Sonic keywords completely ignore and bypass the Substitute. Once the Substitute has been destroyed, the user may be hit as normal. Substitute cannot be used if the user has less than 1/4 of their full Hit Points.",core,410,False
sucker-punch,Sucker Punch,Dark,At-Will,2,7,2d6+10,17,Physical,"Melee, 1 Target, Interrupt, Trigger","If an adjacent foe targets the user with a Damaging Attack, Sucker Punch may be used as an Interrupt Move against the triggering foe.",sumo,8,False
sunny-day,Sunny Day,Fire,Daily x2,,,,,Status,"Field, Weather","The weather becomes Sunny for 5 rounds. While Sunny, Fire-Type Attacks gain a +5 bonus to Damage Rolls, and Water-Type Attacks suffer a -5 Damage penalty.",core,372,False
sunsteel-strike,Sunsteel Strike,Steel,Scene x2,2,10,3d8+10,24,Physical,Close Blast 2,"This Move ignores any Abilities that would cause it to fail or miss, such as Dodge or Wonder Guard; those Abilities cannot be activated in response to Sunsteel Strike.",sumo,23,False
super-fang,Super Fang,Normal,Scene,4,,,,Physical,"Melee, 1 Target",The target loses 1/2 of their current Hit Points.,core,410,False
superpower,Superpower,Fighting,Scene x2,2,12,3d12+10,30,Physical,"Melee, 1 Target, Dash",Superpower lowers the user's Attack and Defense by 1 Combat Stage each.,core,368,False
supersonic,Supersonic,Normal,Scene x2,6,,,,Status,"4, 1 Target, Sonic","The target becomes Confused. On miss, the target suffers a -2 penalty to Accuracy Rolls for one full round.",core,410,False
surf,Surf,Water,EOT,2,9,2d10+10,21,Special,Line 6,"As a Shift Action, the user may Move to any open square in Surf's area of effect without provoking any Attacks of Opportunity.",core,434,False
swagger,Swagger,Normal,EOT,5,,,,Status,"6, 1 Target, Social",The target's Attack is raised 2 Combat Stages. Swagger Confuses the target.,sumo,19,False
swallow,Swallow,Normal,Daily x2,,,,,Status,Self,"If the user's Stockpiled count is 1, they are healed 25% of their full Hit Point value; if their Stockpiled count is 2, they are healed half of their full Hit Point value; if their Stockpiled count is 3, they are healed back to full Hit Points. After using Swallow, the user's Stockpiled count is set to 0. If the user has no Stockpiled count, Swallow does nothing.",core,410,False
sweeping-strike,Sweeping Strike,Normal,Scene x2,3,9,2d10+10,21,Physical,"WR, 1 Target",You may attempt a Trip Maneuver against the target as a free action.,core,291,False
sweet-kiss,Sweet Kiss,Fairy,Scene x2,6,,,,Status,"6, 1 Target, Social","The target becomes Confused. On miss, the target suffers a -2 penalty to Accuracy Rolls for one full round.",core,362,False
sweet-scent,Sweet Scent,Normal,Scene,2,,,,Status,"Burst 2, Friendly",Targets hit by Sweet Scent gain a -2 Penalty to Evasion. (Total Evasion may not be lowered to a negative value. ),core,410,False
swift,Swift,Normal,EOT,,6,2d6+8,15,Special,"8, Ranged Blast 2, Friendly",Swift cannot Miss.,core,410,False
switcheroo,Switcheroo,Dark,At-Will,2,,,,Status,"Melee, 1 Target",The user and the target exchange Held Items or Accessory Slot Items.,core,353,False
swords-dance,Swords Dance,Normal,EOT,,,,,Status,Self,The user's Attack is raised 2 Combat Stages.,core,411,False
synchronoise,Synchronoise,Psychic,Scene x2,2,12,3d12+10,30,Special,Burst 3,Synchronoise can only hit targets that share a type with Synchronoise's user.,core,424,False
synthesis,Synthesis,Grass,Daily x2,,,,,Status,Self,"The user regains Hit Points equal to half of its full Hit Point value. If it is Sunny, the user gains 2/3 of its full Hit Point value instead. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full Hit Point value instead.",core,384,False
tackle,Tackle,Normal,At-Will,2,4,1d8+6,11,Physical,"Melee, 1 Target, Dash, Push",The target is pushed 2 Meters.,sumo,19,False
tail-glow,Tail Glow,Bug,Scene,,,,,Status,Self,Raise the user's Special Attack 3 Combat Stages.,core,349,False
tail-slap,Tail Slap,Normal,EOT,4,3,1d6+5,9,Physical,"Melee, 1 Target, Five Strike",None,core,411,False
tail-whip,Tail Whip,Normal,At-Will,2,,,,Status,"Burst 1, Friendly",All legal targets have their Defense lowered by 1 Combat Stage.,core,411,False
tailwind,Tailwind,Flying,Scene,,,,,Status,,"For the remainder of the encounter, all allied trainers and Pokémon gain +5 to their Initiative. Multiple instances of Tailwind cannot stack.",core,376,True
take-aim,Take Aim,Normal,EOT,,,,,Status,Self,"Raise the user's Accuracy by +1. If the user per- forms an Weapon Move on their next turn that deals damage, add its Damage Dice Roll an extra time to the damage. Limitations: None",core,289,False
take-down,Take Down,Normal,EOT,5,9,2d10+10,21,Physical,"Melee, 1 Target, Dash, Recoil 1/3",You may perform a Trip Maneuver against the target as a Free Action.,core,411,False
tar-shot,Tar Shot,Rock,Scene,2,,,,Status,Cone 2,"The target gains a Coat that is automatically expended upon being hit with a Fire Type attack in order to make them one step more vulnerable to that attack. In addition, the target's Speed is lowered by 1 CS.",new,14,False
taunt,Taunt,Dark,EOT,3,,,,Status,"6, 1 Target, Social",The target becomes Enraged.,core,353,False
tearful-look,Tearful Look,Normal,EOT,2,,,,Status,"Burst 1, Social, Friendly",Tearful Look lowers all Legal Targets' Attack and Special Attack 1 Combat Stage.,sumo,19,False
teatime,Teatime,Normal,Scene,,,,,Status,"Field, Social","All participants in the battle may choose to immediately consume one of their Food Buffs, regardless of if the conditions to do so are met.",new,12,False
techno-blast,Techno Blast,Normal,Scene,2,12,3d12+10,30,Special,"6, Ranged Blast 2",Techno Blast's Type can be any Type while holding the appropriate Drive item or Plate item.,core,411,False
teeter-dance,Teeter Dance,Normal,Scene,2,,,,Status,Burst 1,Teeter Dance Confuses all Legal Targets.,core,411,False
telekinesis,Telekinesis,Psychic,Scene x2,,,,,Status,"4, 1 Target","The target becomes Lifted. While Lifted, they gain the Levitate Ability, are Slowed, and lose all Movement Capabilities except for the Levitate 4 granted by Levitate (reduced to 2 by the Slow condition). While Lifted, the user may not apply any Evasion bonuses to determine whether they are hit by Moves or not. The Lifted target may use a Shift Action to roll 1d20; on a result of 16+, they stop being Lifted.",core,425,False
teleport,Teleport,Psychic,Scene,,,,,Status,"Self, Interrupt","The user Teleports up to X meters, where X is its Teleporter Capability. Teleport can be used as an Interrupt at any time. Moves that targeted Teleport's user continue through the desired target's space if the Move allows for it as if the user hadn't been there; single target moves simply miss.",core,425,False
thief,Thief,Dark,At-Will,2,6,2d6+8,15,Physical,"Melee, 1 Target","Thief takes the target's Held Item or Accessory Slot Item and attaches it to Thief's user, if the user is not holding anything.",core,353,False
thousand-arrows,Thousand Arrows,Ground,Scene,2,9,2d10+10,21,Physical,"6, 1 Target","When calculating Weakness and Resistance for Thousand Arrows, Flying-Typed targets calculate damage as if Flying was neutral to Ground. Thousand Arrows ignores the Levitate ability. The target is knocked down to ground level, and loses all Sky or Levitate Speeds for 3 turns. During this time, they may be hit by Ground-Type Moves even if normally immune.",sumo,17,False
thousand-waves,Thousand Waves,Ground,Scene,2,9,2d10+10,21,Physical,"Burst 1, Groundsource",Legal Targets are Trapped for 2 rounds.,sumo,17,False
thrash,Thrash,Normal,Scene x2,3,12,3d12+10,30,Physical,"Melee, all adjacent foes, Smite","After damage is dealt, the user becomes Enraged and Confused.",core,411,False
throat-chop,Throat Chop,Dark,EOT,2,8,2d8+10,19,Physical,"Melee, 1 Target",The target cannot use Moves with the Sonic keyword for the next two turns.,sumo,8,False
thunder,Thunder,Electric,Scene x2,7,11,3d10+10,27,Special,"12, 1 Target, Smite","Thunder Paralyzes its target on 15+. If the target is in Sunny Weather, Thunder's Accuracy Check is 11. If the target is in Rainy Weather, Thunder cannot miss. If the target is airborne as a result of Fly or Sky Drop, Thunder cannot miss.",core,358,False
thunder-fang,Thunder Fang,Electric,At-Will,3,7,2d6+10,17,Physical,"Melee, 1 Target","Thunder Fang Paralyzes or Flinches on 18- 19 during Accuracy Check; flip a coin to determine whether the foe gets Paralyzed or Flinches. On 20 during Accuracy Check, the foe is Paralyzed and Flinched.",core,358,False
thunder-punch,Thunder Punch,Electric,At-Will,2,8,2d8+10,19,Physical,"Melee, 1 Target",Thunder Punch Paralyzes the target on 19+.,core,358,False
thunder-shock,Thunder Shock,Electric,At-Will,2,4,1d8+6,11,Special,"4, 1 Target",Thunder Shock Paralyzes the target on 17+.,core,358,False
thunder-wave,Thunder Wave,Electric,Scene x2,4,,,,Status,"6, 1 Target",Thunder Wave Paralyzes the target. Targets immune to Electric Attacks are immune to Thunder Wave's effects.,sumo,10,False
thunderbolt,Thunderbolt,Electric,EOT,2,9,2d10+10,21,Special,"4, 1 Target",Thunderbolt Paralyzes the target on 19+.,core,358,False
tickle,Tickle,Normal,EOT,2,,,,Status,"Melee, 1 Target",Lower the target's Attack 1 Combat Stage and lower the target's Defense 1 Combat Stage.,core,412,False
titanic-slam,Titanic Slam,Normal,Scene x2,3,11,3d10+10,27,Physical,"1 Target, Melee","On Even-Numbered Rolls, the target is Slowed for one full round.",core,291,False
topsy-turvy,Topsy-Turvy,Dark,EOT,4,,,,Status,"6, 1 Target","The target's Combat Stages are inverted; +1 Stage becomes -1 Stage, -3 Stages becomes +3 Stages, etc.",core,353,False
torment,Torment,Dark,Scene x2,2,,,,Status,"10, 1 Target, Social",The target becomes Suppressed.,core,353,False
touch-of-fatigue,Touch of Fatigue,Normal,EOT,2,7,2d6+10,17,Special,Melee,Touch of Fatigue Slows the target for one full round on 15+.,edit,54,False
toxic,Toxic,Poison,Scene x2,4,,,,Status,"4, 1 Target","The target is Badly Poisoned. If the user is Poison Type, Toxic cannot miss.",core,416,False
toxic-spikes,Toxic Spikes,Poison,EOT,,,,,Status,"6, Hazard","Set 8 square meters of Toxic Spikes, all 8 meters must be adjacent with at least one other space of Toxic Spikes next to each other. Toxic Spikes cause Terrain to become Slow Terrain, and a grounded foe that runs into the hazard becomes Poisoned, and Slowed until the end of their next turn. If there are 2 Layers of Toxic Spikes on the same space, it Deadly Poisons the foes instead. Poison-Type Pokémon may move over Toxic Spikes harmlessly, destroying the Hazards as they do so.",core,416,False
toxic-thread,Toxic Thread,Poison,Scene x2,2,,,,Status,"6, 1 Target","The target is Poisoned and has their Speed lowered by 1 Combat Stage. If the target is already Poisoned, they instead lose a Tick of Hit Points and has their Speed lowered by 2 Combat Stages.",sumo,20,False
transform,Transform,Normal,At-Will,,,,,Status,"10, 1 Target","The user targets a Pokémon within 10 meters, and assumes the form of the target. It gains all of the user's Moves, gains its Abilities, copies its weight and height and Capabilities. Transform lasts until the user is switched out, KO'd or until the end of the encounter. The user may choose to end the Transformation on its turn as a free action, regaining its previous Move List. The user's Stats do not change from using Transform. Transform cannot miss.",core,412,False
tri-attack,Tri Attack,Normal,EOT,2,8,2d8+10,19,Special,"6, 1 target","Tri Attack gives the target a Status ailment on 17+ during Accuracy Check. If this effect is triggered, roll 1d3; on 1 the target is Paralyzed; on 2 the target is Burned; on 3 the target is Frozen.",core,412,False
trick,Trick,Psychic,Scene,2,,,,Status,"5, 2 Targets","Both targets must be hit for Trick to succeed. The user may target itself or willing allies with Trick; you do not need to roll for Accuracy Check in these cases. Both targets lose their Held Item or Accessory Slot Item, and gain the other target's Held Item or Accessory Slot Item. If a target has no Item, it still can gain the other target's Item.",core,425,False
trick-room,Trick Room,Psychic,Daily x2,,,,,Status,Field,"Starting at the beginning of the next round, for 5 rounds, the area is considered Rewinding. While Rewinding, Initiative is reversed, and participants instead go from lowest Initiative to Highest.",core,425,False
trick-or-treat,Trick-or-Treat,Ghost,Daily,2,,,,Status,"6, 1 Target",The target gains the Ghost Type in addition to its other Types for 5 turns.,core,379,False
triple-kick,Triple Kick,Fighting,At-Will,,,,,Physical,"Melee, 1 Target","Make three attacks with Triple Kick. If you hit once, Triple Kick has a DB of 1. If you hit two times, Triple Kick has a DB of 3. If you hit three times, Triple Kick has a DB of 6.",core,368,False
triple-threat,Triple Threat,Normal,Scene x2,2,7,3d8+10,17,Physical,"WR, 3 Targets",None,core,291,False
trop-kick,Trop Kick,Grass,EOT,2,7,2d6+10,17,Physical,"Melee, 1 Target",The target receives a -5 penalty to damage rolls for 1 round.,sumo,16,False
trump-card,Trump Card,Normal,EOT,2,6,2d6+8,15,Special,"6, 1 Target","Whenever Trump Card is used, the user gains a Trump Count after the attack is resolved. Trump Card's Damage Base is increased by +2 for each Trump Count.",core,412,False
twineedle,Twineedle,Bug,At-Will,3,3,1d6+5,9,Physical,"Melee, 1 Target, Double Strike",Twineedle Poisons the target on an Accuracy Check of 18+,core,349,False
twister,Twister,Dragon,At-Will,2,4,1d8+6,11,Special,"6, Ranged Blast 3","Small or Medium targets in the central square of the blast are not hit. Twister Flinches the target on 18-20 during Accuracy Check. Any Pokémon Airborne as a result of Fly or Sky Drop above the Blast are hit, ignoring range, and Twister has a Damage Base of 8 against those targets instead.",core,355,False
u-turn,U-Turn,Bug,At-Will,2,7,2d6+10,17,Physical,"Melee, 1 Target, Dash","If U-Turn successfully hits its target, the user deals damage and then immediately is returned to its Poké Ball in the same turn. A New Pokémon may immediately be sent out. Using U-Turn lets a Trapped user be recalled.",core,349,False
uproar,Uproar,Normal,EOT,2,5,1d8+8,13,Special,"Burst 1, Spirit Surge, Sonic",All Pokémon and Trainers within 5 meters of the user are cured of sleep.,core,412,False
v-create,V-Create,Fire,Daily,5,18,6d12+25,65,Physical,"Melee, 1 Target, Smite","Lower the user's Defense, Special Defense, and Speed by 1 CS each.",core,372,False
vacuum-wave,Vacuum Wave,Fighting,At-Will,2,4,1d8+6,11,Special,"4, 1 Target, Priority, Aura",None,core,368,False
venom-drench,Venom Drench,Poison,EOT,,,,,Status,Cone 2,"All Poisoned targets have their Attack, Special Attack, and Speed lowered by 1 Combat Stage. Venom Drench cannot miss.",core,416,False
venoshock,Venoshock,Poison,Scene x2,2,7,2d6+10,17,Special,"6, 1 Target","If the target is Poisoned, Venoshock has a Damage Base of 13 (4d10+10 / 35) instead.",core,417,False
vice-grip,Vice Grip,Normal,At-Will,2,6,2d6+8,15,Physical,"Melee, 1 Target",None,core,412,False
vine-whip,Vine Whip,Grass,At-Will,2,4,1d8+6,11,Physical,"4, 1 Target",None,core,384,False
